ageGroup,sex,height,weight,BMI,bodyFat
1,1,173,67.6,22.6,10.9
1,1,173,68,22.7,10.7
1,1,173,68,22.7,11.5
1,1,173,68,22.7,13.5
1,1,173,68,22.7,13.6
1,1,173,68,22.7,8.7
1,1,173,68.1,22.8,13.4
1,1,173,68.5,22.9,14
1,1,173,69.4,23.2,20
1,1,173,69.5,23.2,6.9
1,1,173,69.8,23.3,6.7
1,1,173,70.8,23.7,14.5
1,1,173,70.8,23.7,9.4
1,1,173,73,24.4,8.9
1,1,173,73,24.4,9.1
1,1,173,95,31.7,31
1,1,173.1,73.6,24.6,21.2
1,1,173.2,65.2,21.7,8.4
1,1,173.2,68.3,22.8,11.4
1,1,173.3,72.3,24.1,27.1
1,1,173.4,60.4,20.1,13
1,1,173.4,65.9,21.9,6.8
1,1,173.4,67.5,22.4,10
1,1,173.4,70.6,23.5,17
1,1,173.5,74.3,24.7,8.6
1,1,173.5,79,26.2,11.6
1,1,173.5,83.7,27.8,19.9
1,1,173.7,73.1,24.2,14.1
1,1,173.8,54.8,18.1,5.6
1,1,173.8,64.9,21.5,16.5
1,1,173.8,77,25.5,21.7
1,1,173.9,67.4,22.3,22.8
1,1,173.9,86.4,28.6,26.5
1,1,173.9,91.5,30.3,37.3
1,1,174,58,19.2,4.3
1,1,174,59.3,19.6,4.6
1,1,174,66,21.8,6.3
1,1,174,66.7,22,10.4
1,1,174,67,22.1,7.7
1,1,174,67.6,22.3,13.9
1,1,174,67.6,22.3,15.3
1,1,174,68,22.5,20.6
1,1,174,70,23.1,16.6
1,1,174,74,24.4,15.3
1,1,174,75,24.8,20.2
1,1,174,77.4,25.6,16
1,1,174,90.4,29.9,14.7
1,1,174.1,64.2,21.2,19.6
1,1,174.1,74,24.4,8.3
1,1,174.2,71.1,23.4,23.2
1,1,174.2,76,25,13
1,1,174.3,71.3,23.5,11.8
1,1,174.4,71.9,23.6,18.6
1,1,174.5,72,23.6,14.8
1,1,174.5,74.8,24.6,16.1
1,1,174.5,75.3,24.7,11.3
1,1,174.6,64.5,21.2,14
1,1,174.7,77.8,25.5,25
1,1,175,58.7,19.2,10
1,1,175,58.7,19.2,13.3
1,1,175,60,19.6,17.8
1,1,175,60.4,19.7,9.7
1,1,175,63.6,20.8,33.8
1,1,175,64,20.9,6.4
1,1,175,65,21.2,12.4
1,1,175,66.3,21.6,11.5
1,1,175,68,22.2,6
1,1,175,68.9,22.5,13.9
1,1,175,69.9,22.8,19.7
1,1,175,70,22.9,12.1
