DateTime,PM10,PM2_5,O3,NO2,CO,SO2
2020-07-13:01,6,,0.038,0.002,0.3,0.001
2020-07-12:24,8,,0.037,0.002,0.3,0.001
2020-07-12:23,10,8,0.031,0.002,0.3,0.002
2020-07-12:22,18,10,0.027,0.003,0.3,0.002
2020-07-12:21,21,12,0.027,0.004,0.3,0.001
2020-07-12:20,18,14,0.026,0.003,0.3,0.002
2020-07-12:19,22,11,0.025,0.004,0.3,0.001
2020-07-12:18,20,8,0.026,0.006,0.3,0.001
2020-07-12:17,27,8,0.027,0.006,0.3,0.001
2020-07-12:16,16,10,0.030,0.005,0.3,0.002
2020-07-12:15,22,10,0.032,0.005,0.3,0.002
2020-07-12:14,20,8,0.035,0.004,0.3,0.002
2020-07-12:13,16,8,0.036,0.003,0.3,0.001
2020-07-12:12,9,9,0.034,0.004,0.3,
2020-07-12:11,18,10,0.030,0.005,0.3,
2020-07-12:10,23,13,0.029,0.005,0.3,
2020-07-12:09,15,11,0.026,0.004,0.3,
2020-07-12:08,4,,0.023,0.004,0.3,
2020-07-12:07,13,,0.017,0.007,0.3,
2020-07-12:06,18,14,0.017,0.006,0.3,
2020-07-12:05,14,,0.017,0.006,0.3,
2020-07-12:04,18,11,0.020,0.005,0.3,
2020-07-12:03,18,7,0.027,0.004,0.3,
2020-07-12:02,13,3,0.036,0.002,0.2,
2020-07-12:01,10,6,0.037,0.003,0.2,
2020-07-11:24,14,10,0.038,0.003,0.2,
2020-07-11:23,7,,0.038,0.004,0.2,
2020-07-11:22,10,,0.037,0.003,0.3,
2020-07-11:21,14,9,0.039,0.002,0.3,
2020-07-11:20,17,9,0.039,0.002,0.3,
2020-07-11:19,13,11,0.038,0.002,0.3,
2020-07-11:18,12,8,0.038,0.002,0.3,0.002
2020-07-11:17,16,8,0.037,0.004,0.3,0.002
2020-07-11:16,15,6,0.039,0.003,0.3,0.002
2020-07-11:15,12,4,0.041,0.003,0.3,0.002
2020-07-11:14,8,1,0.042,0.003,0.3,0.002
2020-07-11:13,7,1,0.043,0.002,0.3,0.002
2020-07-11:12,4,1,0.043,0.003,0.3,0.002
2020-07-11:11,3,1,0.041,0.004,0.3,0.002
2020-07-11:10,2,2,0.039,0.003,0.3,0.002
2020-07-11:09,3,2,0.038,0.004,0.3,0.002
2020-07-11:08,3,1,0.038,0.004,0.3,0.002
2020-07-11:07,4,2,0.036,0.003,0.3,0.002
2020-07-11:06,6,2,0.037,0.003,0.3,0.002
2020-07-11:05,4,,0.037,0.003,0.3,0.002
2020-07-11:04,3,,0.038,0.002,0.3,0.002
2020-07-11:03,8,6,0.034,0.003,0.3,0.002
2020-07-11:02,7,2,0.022,0.006,0.3,0.002
2020-07-11:01,14,,0.031,0.004,0.3,0.002
2020-07-10:24,4,1,0.035,0.004,0.3,0.002
2020-07-10:23,8,1,0.036,0.004,0.3,0.002
2020-07-10:22,7,1,0.036,0.005,0.3,0.002
2020-07-10:21,7,1,0.037,0.004,0.3,0.002
2020-07-10:20,11,1,0.039,0.004,0.3,0.002
2020-07-10:19,8,1,0.040,0.004,0.3,0.002
2020-07-10:18,9,3,0.042,0.004,0.3,0.002
2020-07-10:17,4,2,0.042,0.003,0.3,0.002
2020-07-10:16,3,,0.042,0.004,0.3,0.002
2020-07-10:15,2,,0.041,0.004,0.3,0.002
2020-07-10:14,8,3,0.038,0.005,0.3,0.002
2020-07-10:13,9,3,0.037,0.005,0.4,0.002
2020-07-10:12,7,2,0.035,0.009,0.4,0.002
2020-07-10:11,19,5,0.042,0.006,0.3,0.002
2020-07-10:10,5,,0.045,0.005,0.3,0.002
2020-07-10:09,13,9,0.043,0.006,0.4,0.002
2020-07-10:08,12,12,0.044,0.004,0.4,0.002
2020-07-10:07,16,13,0.046,0.003,0.3,0.002
2020-07-10:06,8,,0.048,0.003,0.3,0.002
2020-07-10:05,15,,0.047,0.003,0.3,0.002
2020-07-10:04,21,16,0.046,0.003,0.3,0.002
2020-07-10:03,17,16,0.046,0.003,0.4,0.002
2020-07-10:02,21,10,0.041,0.005,0.3,0.002
2020-07-10:01,17,10,0.044,0.005,0.3,0.002
2020-07-09:24,22,12,0.041,0.006,0.4,0.002
2020-07-09:23,21,15,0.046,0.005,0.3,0.002
2020-07-09:22,25,14,0.050,0.005,0.3,0.002
2020-07-09:21,27,17,0.052,0.005,0.3,0.002
2020-07-09:20,26,15,0.051,0.004,0.3,0.002
2020-07-09:19,32,18,0.054,0.005,0.3,0.002
2020-07-09:18,32,19,0.062,0.006,0.3,0.002
2020-07-09:17,36,22,0.063,0.006,0.3,0.002
2020-07-09:16,39,22,0.073,0.006,0.3,0.002
2020-07-09:15,30,25,0.073,0.006,0.3,0.002
2020-07-09:14,32,27,0.070,0.006,0.4,0.002
2020-07-09:13,43,25,0.072,0.007,0.4,0.002
2020-07-09:12,,,,,,
2020-07-09:11,,,,,,
2020-07-09:10,25,16,0.034,0.009,0.5,0.002
2020-07-09:09,14,,0.026,0.008,0.5,0.002
2020-07-09:08,20,19,0.023,0.008,0.5,0.002
2020-07-09:07,26,22,0.018,0.008,0.5,0.002
2020-07-09:06,29,25,0.016,0.009,0.5,0.002
2020-07-09:05,27,25,0.018,0.007,0.5,0.002
2020-07-09:04,30,26,0.016,0.010,0.5,0.002
2020-07-09:03,37,24,0.022,0.009,0.5,0.002
2020-07-09:02,36,19,0.027,0.010,0.5,0.002
2020-07-09:01,32,22,0.036,0.006,0.5,0.002
2020-07-08:24,42,27,0.038,0.015,0.5,0.002
2020-07-08:23,49,28,0.042,0.016,0.5,0.002
2020-07-08:22,52,27,0.065,0.016,0.5,0.002
2020-07-08:21,42,25,0.075,0.015,0.5,0.002
2020-07-08:20,52,24,0.093,0.011,0.5,0.002
2020-07-08:19,41,20,0.092,0.012,0.5,0.002
2020-07-08:18,32,15,0.082,0.008,0.4,0.001
2020-07-08:17,23,10,0.064,0.007,0.4,0.002
2020-07-08:16,13,8,0.055,0.004,0.4,0.002
2020-07-08:15,13,10,0.048,0.004,0.4,0.001
2020-07-08:14,20,14,0.049,0.004,0.4,0.001
2020-07-08:13,16,13,0.053,0.004,0.4,0.002
2020-07-08:12,20,15,0.050,0.005,0.4,0.002
2020-07-08:11,30,15,0.042,0.009,0.5,0.002
2020-07-08:10,18,13,0.031,0.010,0.5,0.002
2020-07-08:09,17,13,0.023,0.009,0.5,0.001
2020-07-08:08,19,14,0.010,0.010,0.5,0.002
2020-07-08:07,20,16,0.008,0.009,0.5,0.001
2020-07-08:06,17,17,0.004,0.009,0.4,0.001
2020-07-08:05,25,19,0.007,0.009,0.4,0.001
2020-07-08:04,25,22,0.008,0.008,0.4,0.001
2020-07-08:03,29,20,0.013,0.009,0.4,0.001
2020-07-08:02,28,22,0.014,0.010,0.5,0.001
2020-07-08:01,34,21,0.018,0.011,0.5,0.001
2020-07-07:24,33,20,0.022,0.013,0.5,0.001
2020-07-07:23,29,17,0.024,0.016,0.5,0.001
2020-07-07:22,33,14,0.032,0.015,0.5,0.001
2020-07-07:21,32,12,0.043,0.012,0.5,0.001
2020-07-07:20,28,16,0.059,0.008,0.4,0.001
2020-07-07:19,24,14,0.060,0.009,0.4,0.001
2020-07-07:18,20,11,0.061,0.007,0.4,0.001
2020-07-07:17,21,12,0.063,0.007,0.4,0.001
2020-07-07:16,13,8,0.063,0.007,0.4,0.001
2020-07-07:15,4,,0.059,0.006,0.4,0.001
2020-07-07:14,18,11,0.048,0.007,0.4,0.001
2020-07-07:13,22,10,0.047,0.007,0.4,0.001
2020-07-07:12,11,8,0.048,0.006,0.4,0.001
2020-07-07:11,8,,0.045,0.005,0.4,0.001
2020-07-07:10,11,,0.037,0.008,0.4,0.001
2020-07-07:09,18,,0.037,0.008,0.5,0.002
2020-07-07:08,25,22,0.032,0.011,0.5,0.002
2020-07-07:07,30,23,0.032,0.009,0.5,0.001
2020-07-07:06,26,22,0.036,0.008,0.5,0.001
2020-07-07:05,32,24,0.042,0.006,0.5,0.001
2020-07-07:04,35,25,0.048,0.006,0.5,0.001
2020-07-07:03,33,28,0.053,0.006,0.5,0.001
2020-07-07:02,36,25,0.052,0.007,0.5,0.001
2020-07-07:01,35,19,0.049,0.009,0.5,0.001
2020-07-06:24,30,16,0.039,0.013,0.5,0.001
2020-07-06:23,31,14,0.039,0.015,0.5,0.001
2020-07-06:22,28,9,0.043,0.013,0.4,0.001
2020-07-06:21,29,9,0.045,0.013,0.4,0.001
2020-07-06:20,28,12,0.052,0.010,0.4,0.001
2020-07-06:19,25,13,0.055,0.008,0.4,0.001
2020-07-06:18,15,13,0.057,0.007,0.4,0.001
2020-07-06:17,20,10,0.059,0.006,0.3,0.001
2020-07-06:16,16,12,0.060,0.005,0.4,0.001
2020-07-06:15,9,,0.059,0.005,0.4,0.001
2020-07-06:14,19,18,0.057,0.005,0.4,0.001
2020-07-06:13,29,23,0.065,0.006,0.4,0.001
2020-07-06:12,26,25,0.070,0.008,0.5,0.001
2020-07-06:11,35,24,0.059,0.010,0.5,0.001
2020-07-06:10,27,24,0.048,0.010,0.5,0.001
2020-07-06:09,31,22,0.036,0.010,0.5,0.001
2020-07-06:08,26,24,0.030,0.010,0.5,0.001
2020-07-06:07,25,,0.026,0.010,0.5,0.001
2020-07-06:06,39,29,0.018,0.012,0.5,0.001
